Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction
Emptying,75.1,30.5,8.0,51.2,36.2,74.1,63.2,Lindstrom-a,Recyclable
Non Emptying,64.9,52.8,2.0,93.1,50.3,33.3,27.4,Lindstrom City,Recyclable
Non Emptying,66.7,54.6,5.0,61.6,20.0,66.4,54.7,Lindstrom-b,Mixed
Non Emptying,71.1,65.2,3.0,70.6,61.0,72.6,31.5,Malmobehallare,Mixed
Non Emptying,59.4,34.1,2.0,73.8,31.4,66.8,38.0,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,33.5,21.9,3.0,34.2,23.4,60.5,21.2,Rectangular,Mixed
Emptying,84.3,42.4,6.0,66.0,50.9,79.7,63.1,Cubic,Recyclable
Non Emptying,78.6,60.8,2.0,66.0,55.2,70.9,39.9,Silvertop-b,Recyclable
Emptying,99.9,59.1,8.0,72.3,61.8,58.5,30.9,Rectangular,Mixed
Emptying,85.7,55.9,6.0,50.3,31.6,68.1,53.2,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,53.8,34.6,2.0,52.6,36.5,51.1,36.7,Rectangular,Non Recyclable
Non Emptying,64.1,54.4,5.0,71.5,34.5,63.0,32.4,BIM-3 FTI bottentomd,Non Recyclable
Emptying,66.5,33.9,6.0,65.7,55.6,85.5,44.4,Accordion,Non Recyclable
Emptying,62.5,24.7,6.0,60.0,22.3,67.3,55.2,Lindstrom City,Recyclable
Emptying,77.4,45.1,6.0,36.8,20.8,31.3,27.4,Rectangular,Non Recyclable
Non Emptying,50.8,39.0,1.0,38.9,21.2,30.6,26.0,Lindstrom-b,Recyclable
Emptying,61.9,29.2,6.0,76.1,42.8,37.2,22.9,Malmobehallare,Recyclable
Non Emptying,51.7,30.7,4.0,91.6,54.6,31.2,20.1,BIM-3 FTI bottentomd,Recyclable
Non Emptying,69.6,55.0,3.0,98.0,50.4,57.0,35.8,Fiberglass Igloo-b,Non Recyclable
Non Emptying,70.4,68.6,1.0,72.0,66.7,53.1,31.7,Accordion,Mixed
Non Emptying,52.3,35.9,5.0,63.9,24.8,37.6,22.1,Malmobehallare,Mixed
Emptying,81.9,50.0,6.0,50.2,34.8,50.7,31.4,Diamond,Recyclable
Emptying,70.2,47.8,9.0,38.8,23.3,62.5,53.6,Malmobehallare,Non Recyclable
Emptying,66.0,23.7,9.0,38.9,25.8,89.6,58.2,Lindstrom-a,Mixed
Non Emptying,75.2,65.6,5.0,73.6,66.6,31.1,26.2,BIM-3 FTI bottentomd,Mixed
Non Emptying,30.7,25.8,2.0,59.5,33.0,53.0,32.3,Lindstrom-a,Mixed
Non Emptying,59.4,30.6,1.0,39.7,21.4,91.6,60.7,Accordion,Non Recyclable
Emptying,78.5,39.2,9.0,89.2,52.2,80.5,42.4,Lindstrom City,Recyclable
Emptying,93.1,51.9,7.0,60.7,23.2,64.3,22.8,Lindstrom-a,Non Recyclable
Emptying,88.5,43.3,6.0,36.4,28.0,81.5,41.4,Lindstrom-b,Recyclable
Emptying,98.5,68.1,8.0,66.8,58.2,78.5,67.7,BIM-3 FTI bottentomd,Recyclable
Emptying,72.1,39.0,7.0,74.2,48.8,63.1,57.6,Lindstrom-a,Mixed
Non Emptying,36.8,21.0,2.0,88.3,45.3,81.6,47.3,Rectangular Farmland,Mixed
Non Emptying,73.3,66.5,1.0,89.3,46.0,32.9,21.8,Lindstrom-b,Recyclable
Emptying,89.2,50.3,8.0,38.3,20.8,75.2,68.1,Fiberglass Igloo-b,Non Recyclable
Non Emptying,38.7,26.6,2.0,88.6,55.3,33.5,23.0,BIM-3 FTI bottentomd,Non Recyclable
Emptying,80.0,39.8,6.0,68.5,20.8,89.7,44.7,Lindstrom City,Non Recyclable
Non Emptying,78.4,65.9,4.0,90.1,64.7,62.0,26.6,Accordion,Mixed
Non Emptying,70.7,60.0,4.0,92.4,54.4,58.3,30.3,Cubic,Non Recyclable
Non Emptying,67.9,57.3,5.0,54.5,34.5,55.2,30.5,Lindstrom City,Non Recyclable
Non Emptying,61.2,55.8,4.0,91.8,59.9,92.9,53.3,Rectangular Farmland,Non Recyclable
Emptying,92.2,52.6,7.0,75.8,35.8,95.3,54.0,Malmobehallare,Mixed
Emptying,70.5,31.3,8.0,95.2,63.0,91.3,58.7,Diamond,Non Recyclable
Non Emptying,63.2,51.7,3.0,64.4,37.0,75.4,44.0,Rectangular,Mixed
Non Emptying,52.0,31.9,3.0,77.0,65.7,73.8,30.1,Cubic,Recyclable
Emptying,69.3,30.7,6.0,73.2,67.7,50.5,38.9,Accordion,Recyclable
Non Emptying,58.6,34.5,3.0,82.6,49.0,82.8,42.4,Fiberglass Igloo-a,Mixed
Emptying,61.3,28.5,7.0,78.0,35.1,61.0,53.4,Fiberglass Igloo-a,Recyclable
Non Emptying,35.1,22.7,4.0,72.0,60.5,61.3,52.6,Lindstrom City,Recyclable
Emptying,82.7,58.6,6.0,62.4,35.2,82.3,49.6,Lindstrom-a,Recyclable
Emptying,63.4,31.4,6.0,53.9,32.2,36.5,27.0,Diamond,Mixed
Non Emptying,67.1,54.3,1.0,99.4,64.9,99.3,51.8,Lindstrom City,Recyclable
Emptying,79.6,30.5,8.0,72.9,67.1,74.4,32.1,Lindstrom-a,Recyclable
Emptying,83.1,51.7,9.0,31.6,20.7,35.8,24.5,Fiberglass Igloo-a,Non Recyclable
Emptying,61.6,33.7,8.0,65.0,52.8,77.5,64.3,Fiberglass Igloo-a,Mixed
Non Emptying,63.2,54.3,3.0,39.5,26.5,78.3,63.1,Diamond,Recyclable
Emptying,90.3,67.7,6.0,59.7,38.1,78.5,30.3,Silvertop-b,Mixed
Non Emptying,79.6,62.8,2.0,56.2,33.3,60.4,52.0,Fiberglass Igloo-a,Non Recyclable
Non Emptying,50.4,31.4,1.0,63.3,28.8,73.3,62.0,Silvertop-a,Recyclable
Non Emptying,62.1,53.6,3.0,63.5,54.6,72.0,67.6,BIM-3 FTI bottentomd,Mixed
Non Emptying,39.2,23.6,1.0,31.1,25.1,51.0,33.5,Malmobehallare,Non Recyclable
Non Emptying,32.4,20.4,2.0,67.7,57.6,82.3,41.1,Silvertop-a,Non Recyclable
Non Emptying,77.9,63.1,1.0,74.5,68.6,63.1,21.6,Lindstrom-a,Non Recyclable
Non Emptying,65.8,53.2,3.0,36.2,22.5,61.8,21.8,Cubic,Recyclable
Emptying,75.6,45.5,8.0,65.7,32.3,62.0,57.2,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,72.1,65.3,2.0,71.1,66.7,72.4,32.7,Fiberglass Igloo-b,Mixed
Non Emptying,74.3,61.6,2.0,88.2,57.9,93.6,67.4,Silvertop-a,Non Recyclable
Emptying,60.4,34.8,8.0,30.2,22.6,71.1,32.0,Diamond,Non Recyclable
Emptying,81.0,40.0,6.0,87.0,54.6,36.7,24.0,Rectangular Farmland,Mixed
Emptying,77.2,37.5,6.0,50.4,34.7,67.7,28.2,Silvertop-a,Non Recyclable
Non Emptying,68.8,54.1,1.0,62.7,53.9,82.8,42.1,Accordion,Recyclable
Emptying,86.1,46.4,6.0,64.5,32.1,61.3,22.9,Malmobehallare,Recyclable
Emptying,61.4,36.4,6.0,93.6,59.4,60.7,25.0,Lindstrom-a,Recyclable
Non Emptying,57.2,34.4,2.0,71.6,68.9,61.6,22.9,Malmobehallare,Recyclable
Non Emptying,64.1,56.9,2.0,71.0,65.3,92.1,67.9,Accordion,Mixed
Non Emptying,71.0,65.3,1.0,36.3,28.3,75.5,31.7,Lindstrom-b,Recyclable
Emptying,80.3,42.1,9.0,62.8,55.9,89.4,57.5,Lindstrom-a,Recyclable
Non Emptying,34.1,24.9,3.0,69.8,51.2,72.2,40.3,Lindstrom City,Non Recyclable
Emptying,94.8,58.1,7.0,99.0,64.4,82.2,43.9,Silvertop-b,Recyclable
Non Emptying,70.9,64.1,1.0,50.0,37.1,32.8,23.7,Lindstrom-a,Non Recyclable
Non Emptying,69.7,50.8,2.0,51.2,37.4,91.5,54.7,Rectangular,Recyclable
Emptying,71.1,33.3,8.0,73.6,66.0,61.1,32.6,Silvertop-a,Mixed
Emptying,99.5,55.9,6.0,90.5,62.0,69.6,30.0,Fiberglass Igloo-b,Mixed
Emptying,82.9,40.9,7.0,65.4,52.8,67.1,55.9,Accordion,Non Recyclable
Emptying,72.3,31.1,6.0,36.9,26.0,66.3,24.2,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,59.9,36.2,4.0,80.5,59.3,56.6,32.4,Silvertop-a,Recyclable
Emptying,83.0,43.7,8.0,37.4,24.8,52.8,36.9,Accordion,Mixed
Emptying,71.2,45.7,9.0,70.8,63.0,36.3,26.1,Fiberglass Igloo-a,Non Recyclable
Non Emptying,77.9,63.5,5.0,90.0,58.4,71.5,47.4,Fiberglass Igloo-a,Mixed
Emptying,75.8,41.3,9.0,63.1,51.1,94.0,59.2,Accordion,Recyclable
Emptying,62.5,38.6,6.0,83.5,46.8,90.4,54.5,Diamond,Recyclable
Emptying,72.7,34.2,9.0,91.4,65.8,83.7,40.2,Accordion,Non Recyclable
Non Emptying,63.1,56.1,3.0,78.1,47.5,72.4,61.6,Lindstrom City,Non Recyclable
Non Emptying,64.6,53.1,3.0,78.7,68.5,73.9,63.3,Lindstrom-a,Mixed
Non Emptying,69.9,56.3,1.0,76.4,30.6,70.1,63.9,Lindstrom-b,Mixed
Emptying,89.6,53.8,6.0,73.7,46.5,79.5,68.5,Cubic,Mixed
Non Emptying,79.5,66.3,3.0,67.2,51.6,66.1,54.0,Silvertop-a,Mixed
Emptying,96.2,67.4,8.0,87.9,46.4,52.7,31.6,Fiberglass Igloo-a,Recyclable
Non Emptying,62.1,53.0,5.0,97.3,51.2,72.8,49.3,Rectangular Farmland,Non Recyclable
Non Emptying,70.8,63.3,1.0,53.6,31.3,98.8,56.4,Rectangular,Non Recyclable
Emptying,96.2,57.6,8.0,97.5,69.9,53.4,32.6,Rectangular,Mixed
Emptying,78.3,33.0,9.0,93.0,62.8,61.1,31.1,Cubic,Mixed
Emptying,75.4,31.0,6.0,89.9,48.6,70.6,68.7,Diamond,Mixed
Emptying,76.3,31.4,7.0,59.8,31.1,58.9,30.5,Lindstrom-a,Recyclable
Non Emptying,33.6,26.2,1.0,76.6,67.3,56.9,36.7,Rectangular,Non Recyclable
Non Emptying,54.5,32.9,1.0,40.0,25.2,92.4,54.2,Lindstrom City,Non Recyclable
Non Emptying,74.9,62.7,5.0,94.2,52.2,55.3,30.1,Accordion,Mixed
Emptying,65.0,20.4,6.0,71.4,40.6,62.4,38.7,Cubic,Non Recyclable
Non Emptying,53.0,30.5,1.0,74.8,34.3,62.1,53.1,Diamond,Recyclable
Emptying,62.6,24.0,7.0,69.0,35.5,34.0,25.3,Accordion,Recyclable
Emptying,90.8,59.2,6.0,92.2,66.1,65.1,52.0,Diamond,Mixed
Non Emptying,56.6,38.0,5.0,68.9,52.4,62.2,22.2,Accordion,Mixed
Emptying,77.7,36.8,9.0,68.2,27.8,38.1,28.2,Malmobehallare,Mixed
Non Emptying,75.6,64.8,4.0,74.0,67.5,78.7,64.5,Rectangular,Mixed
Non Emptying,63.2,50.6,4.0,63.6,52.6,32.3,21.1,Cubic,Non Recyclable
Non Emptying,76.4,60.5,3.0,67.7,50.8,51.8,32.3,Silvertop-a,Recyclable
Emptying,65.9,36.1,7.0,72.2,33.5,64.7,50.3,Lindstrom City,Recyclable
Non Emptying,34.1,23.9,1.0,59.8,33.4,79.2,60.8,Fiberglass Igloo-a,Non Recyclable
Emptying,76.8,40.8,7.0,75.0,61.5,52.0,32.9,Fiberglass Igloo-b,Mixed
Non Emptying,57.1,32.2,1.0,84.2,41.6,82.7,46.6,Lindstrom-b,Recyclable
Non Emptying,67.8,55.4,4.0,65.2,53.5,98.4,53.4,Silvertop-a,Non Recyclable
Emptying,60.1,26.9,6.0,35.0,27.8,90.0,54.0,Lindstrom City,Mixed
Emptying,60.8,23.4,8.0,96.2,67.4,71.3,33.5,Lindstrom-a,Mixed
Emptying,82.7,58.5,8.0,58.2,31.5,71.9,69.0,Lindstrom City,Non Recyclable
Emptying,70.2,30.9,6.0,75.5,44.3,55.1,35.5,Rectangular Farmland,Mixed
Emptying,72.6,33.1,6.0,60.5,22.4,77.8,45.6,Fiberglass Igloo-b,Non Recyclable
Emptying,78.6,46.3,7.0,60.5,51.2,64.2,56.7,Silvertop-b,Non Recyclable
Emptying,71.1,45.4,6.0,32.8,20.9,68.6,50.8,Fiberglass Igloo-b,Recyclable
Non Emptying,34.9,27.1,2.0,34.6,26.7,69.5,57.3,Lindstrom-b,Mixed
Emptying,63.7,28.0,8.0,70.2,62.3,70.2,65.8,Cubic,Mixed
Non Emptying,31.8,24.6,5.0,83.2,59.2,60.6,28.1,Silvertop-b,Recyclable
Emptying,85.3,42.3,8.0,62.6,54.0,51.3,36.1,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,75.3,60.8,4.0,71.8,48.6,66.5,36.5,BIM-3 FTI bottentomd,Non Recyclable
Non Emptying,31.9,27.8,5.0,93.6,51.0,73.4,33.8,Rectangular,Mixed
Emptying,90.2,55.6,9.0,69.0,54.2,68.3,36.2,Accordion,Mixed
Emptying,90.0,54.2,6.0,72.9,61.6,91.5,66.7,Lindstrom-b,Mixed
Emptying,89.7,44.6,8.0,86.0,45.5,70.8,37.4,Lindstrom-a,Non Recyclable
Emptying,84.7,41.6,6.0,73.0,60.3,81.9,40.4,Fiberglass Igloo-a,Non Recyclable
Non Emptying,62.9,58.3,3.0,57.9,37.3,67.5,35.9,Cubic,Recyclable
Emptying,66.8,21.3,9.0,78.0,33.0,33.8,25.0,Lindstrom City,Non Recyclable
Emptying,92.5,68.7,6.0,61.5,56.2,66.8,58.1,Lindstrom City,Mixed
Emptying,71.9,42.3,9.0,53.2,37.8,30.2,25.0,Rectangular Farmland,Mixed
Emptying,80.8,42.0,6.0,84.0,50.3,70.8,30.6,Fiberglass Igloo-b,Recyclable
Emptying,72.2,49.9,9.0,72.9,63.5,69.3,52.1,Rectangular,Recyclable
Emptying,98.8,64.2,6.0,97.1,65.9,63.0,30.7,Accordion,Mixed
Non Emptying,32.4,22.3,2.0,53.1,36.2,65.0,54.9,Cubic,Mixed
Non Emptying,50.6,33.4,5.0,61.0,36.5,74.2,62.8,Rectangular,Non Recyclable
Non Emptying,56.1,38.6,3.0,79.6,66.5,32.8,21.8,Fiberglass Igloo-b,Recyclable
Non Emptying,31.3,27.2,5.0,74.5,31.9,34.2,22.3,Accordion,Mixed
Emptying,90.2,59.8,6.0,90.9,63.6,72.9,43.7,Silvertop-a,Recyclable
Emptying,74.2,47.6,9.0,39.9,20.4,64.4,22.2,Rectangular,Mixed
Emptying,66.7,22.9,8.0,54.0,31.5,32.6,27.6,Lindstrom City,Non Recyclable
Non Emptying,54.5,34.2,1.0,81.3,57.4,97.9,63.5,Accordion,Mixed
Emptying,96.4,69.4,9.0,63.8,50.9,85.1,54.4,Lindstrom-b,Mixed
Emptying,93.8,51.5,8.0,85.9,43.8,59.8,36.4,Silvertop-a,Non Recyclable
Emptying,77.3,40.1,6.0,70.5,62.6,30.0,20.9,Rectangular,Mixed
Non Emptying,57.0,30.2,4.0,74.3,30.3,69.1,52.7,Fiberglass Igloo-a,Mixed
Non Emptying,36.3,22.4,4.0,33.2,24.8,60.2,51.5,Accordion,Non Recyclable
Non Emptying,60.6,55.9,3.0,38.5,27.1,91.1,65.2,Rectangular,Non Recyclable
Emptying,63.8,26.5,6.0,72.5,63.3,62.4,24.2,Diamond,Recyclable
Emptying,79.8,34.5,6.0,71.0,61.7,89.0,52.1,Rectangular Farmland,Non Recyclable
Non Emptying,61.6,51.4,1.0,77.8,36.2,70.2,30.7,Silvertop-b,Mixed
Emptying,84.5,52.2,7.0,60.8,56.0,35.7,26.8,Malmobehallare,Mixed
Non Emptying,32.1,20.3,1.0,73.1,66.3,62.1,38.6,Accordion,Recyclable
Non Emptying,71.3,65.0,5.0,73.9,38.3,76.9,36.1,Silvertop-b,Non Recyclable
Non Emptying,55.5,36.7,2.0,70.7,65.1,69.5,39.1,Accordion,Non Recyclable
Non Emptying,73.5,62.9,4.0,52.0,36.2,76.9,39.1,Rectangular,Mixed
Non Emptying,32.4,25.4,5.0,63.6,54.4,78.7,65.4,Fiberglass Igloo-b,Recyclable
Non Emptying,64.3,51.8,1.0,61.5,33.9,64.4,51.6,Fiberglass Igloo-a,Mixed
Emptying,92.3,53.8,6.0,85.3,44.1,67.6,56.5,Diamond,Mixed
Emptying,94.3,51.0,8.0,78.8,32.0,93.5,67.7,Lindstrom-b,Mixed
Emptying,80.0,33.2,8.0,51.2,30.9,89.7,42.3,Silvertop-b,Mixed
Non Emptying,69.9,52.6,5.0,74.3,43.7,84.9,41.0,Diamond,Recyclable
Emptying,75.9,30.9,9.0,74.4,60.4,71.7,40.1,Rectangular Farmland,Mixed
Non Emptying,68.2,58.7,4.0,89.0,58.5,73.5,35.5,Lindstrom City,Non Recyclable
Non Emptying,74.5,62.6,2.0,59.2,34.4,91.6,51.0,BIM-3 FTI bottentomd,Non Recyclable
Emptying,76.0,33.9,6.0,88.4,44.0,63.7,23.0,Lindstrom-a,Non Recyclable
Non Emptying,37.9,22.9,4.0,52.1,39.0,30.5,25.4,Silvertop-b,Mixed
Non Emptying,66.9,53.4,1.0,60.4,50.8,82.1,52.7,Cubic,Recyclable
Emptying,96.3,54.8,7.0,51.3,33.1,79.6,34.2,Silvertop-b,Mixed
Emptying,69.6,36.7,6.0,32.3,23.2,72.1,38.1,Silvertop-b,Mixed
Emptying,73.4,35.4,6.0,74.0,66.6,31.7,25.9,Lindstrom City,Non Recyclable
Non Emptying,32.5,22.3,1.0,82.0,50.4,38.6,27.8,Malmobehallare,Recyclable
Non Emptying,60.2,50.7,5.0,32.8,25.5,90.7,51.6,Silvertop-b,Non Recyclable
Emptying,91.2,58.6,6.0,66.4,31.7,72.1,33.1,Malmobehallare,Mixed
Emptying,60.7,24.4,9.0,72.6,60.5,88.3,42.9,Silvertop-b,Non Recyclable
Non Emptying,77.6,66.0,1.0,75.6,46.1,69.4,51.3,Fiberglass Igloo-b,Mixed
Emptying,76.6,35.9,6.0,73.2,61.2,71.1,60.0,Fiberglass Igloo-a,Mixed
Non Emptying,70.9,64.3,5.0,80.6,49.6,58.6,33.6,BIM-3 FTI bottentomd,Recyclable
Non Emptying,37.5,26.0,1.0,60.3,57.0,31.9,26.0,Silvertop-b,Mixed
Non Emptying,50.0,34.8,3.0,63.3,21.7,68.8,25.8,BIM-3 FTI bottentomd,Mixed
Non Emptying,74.6,65.7,2.0,60.9,35.3,32.8,21.5,BIM-3 FTI bottentomd,Recyclable
Emptying,71.0,36.0,9.0,34.8,24.0,56.0,31.9,Cubic,Recyclable
Non Emptying,63.1,58.1,1.0,99.6,59.5,64.2,52.6,Diamond,Recyclable
Non Emptying,58.8,36.3,4.0,65.5,51.4,94.8,60.0,Fiberglass Igloo-a,Non Recyclable
Emptying,73.8,38.5,6.0,99.5,50.0,59.9,36.6,Silvertop-b,Mixed
Emptying,95.9,62.8,7.0,76.8,30.5,78.1,61.4,Silvertop-b,Mixed
Emptying,81.0,41.1,6.0,62.4,22.5,69.2,54.7,Malmobehallare,Recyclable
Non Emptying,39.1,27.3,5.0,87.9,41.3,81.6,54.6,Fiberglass Igloo-b,Non Recyclable
Emptying,62.1,36.6,7.0,71.5,68.4,88.1,50.7,Malmobehallare,Recyclable
Emptying,81.4,48.0,8.0,83.3,49.7,51.3,37.0,Fiberglass Igloo-a,Mixed
Non Emptying,50.0,35.0,2.0,73.5,39.7,37.8,24.7,Cubic,Mixed
Non Emptying,31.6,23.0,3.0,83.4,41.5,67.1,20.9,Lindstrom City,Recyclable
Emptying,97.0,59.7,8.0,76.7,60.9,78.3,42.3,Lindstrom-a,Non Recyclable
Non Emptying,71.9,62.8,4.0,95.7,65.6,72.2,33.8,Lindstrom City,Recyclable
Non Emptying,66.1,51.7,5.0,94.3,53.3,79.3,37.6,Silvertop-a,Mixed
Non Emptying,76.6,68.1,5.0,54.7,36.1,94.4,50.6,Lindstrom City,Mixed
Non Emptying,64.4,56.0,3.0,73.2,32.1,68.3,23.9,Silvertop-b,Non Recyclable
Non Emptying,76.5,62.5,3.0,71.8,48.3,84.7,40.0,Rectangular,Non Recyclable
Non Emptying,38.9,21.5,5.0,94.8,66.7,99.6,57.7,Fiberglass Igloo-b,Recyclable
Non Emptying,54.2,36.7,4.0,33.6,20.2,88.2,54.0,Lindstrom-a,Mixed
Emptying,83.9,41.8,7.0,62.0,52.0,81.4,49.5,Rectangular,Mixed
Non Emptying,52.2,36.0,1.0,70.5,64.9,90.3,64.5,Lindstrom City,Recyclable
Emptying,98.8,52.1,6.0,73.9,63.4,63.8,33.4,Lindstrom-b,Mixed
Non Emptying,55.3,36.5,5.0,38.4,27.6,51.2,35.5,Cubic,Mixed
Emptying,90.0,55.2,8.0,56.2,33.6,58.9,33.1,Silvertop-b,Mixed
Emptying,80.8,40.5,7.0,93.0,51.0,52.2,30.8,Lindstrom-b,Mixed
Emptying,96.7,66.5,9.0,90.3,52.9,74.3,61.5,Accordion,Recyclable
Emptying,91.5,55.2,8.0,51.4,34.4,77.7,30.9,Rectangular Farmland,Non Recyclable
Emptying,63.8,25.6,6.0,68.5,21.3,74.4,61.0,Malmobehallare,Mixed
Non Emptying,50.2,33.0,3.0,79.1,38.2,70.1,66.9,Silvertop-b,Non Recyclable
Non Emptying,56.2,36.8,2.0,33.4,28.8,96.0,69.8,Lindstrom-a,Recyclable
Emptying,65.5,22.7,9.0,96.4,64.2,66.2,33.2,Fiberglass Igloo-a,Non Recyclable
Non Emptying,60.0,53.5,3.0,58.2,38.6,66.5,56.1,BIM-3 FTI bottentomd,Recyclable
Emptying,89.5,47.0,7.0,50.6,33.0,80.2,43.0,Cubic,Recyclable
Emptying,70.8,41.9,6.0,91.7,69.5,94.2,66.5,Silvertop-b,Non Recyclable
Emptying,76.9,48.9,8.0,73.3,62.8,57.6,33.7,Fiberglass Igloo-b,Recyclable
Emptying,72.2,48.7,8.0,90.2,52.7,84.7,58.3,Lindstrom-a,Mixed
Emptying,72.9,48.3,8.0,95.1,58.0,73.7,47.3,Fiberglass Igloo-a,Non Recyclable
Non Emptying,59.5,38.6,4.0,33.1,21.1,64.6,37.5,BIM-3 FTI bottentomd,Mixed
Non Emptying,60.8,54.0,3.0,53.5,36.4,34.8,22.5,Silvertop-b,Non Recyclable
Emptying,81.7,54.9,8.0,30.6,20.5,72.5,34.2,Fiberglass Igloo-b,Non Recyclable
Non Emptying,60.7,55.2,1.0,70.0,62.0,91.6,50.7,Rectangular Farmland,Recyclable
Non Emptying,72.5,64.2,3.0,58.7,30.0,32.0,27.0,Diamond,Non Recyclable
Emptying,88.5,59.7,7.0,74.7,42.0,71.2,65.2,Lindstrom-a,Non Recyclable
Emptying,63.4,34.7,8.0,79.4,44.6,71.8,62.8,Accordion,Mixed
Non Emptying,58.7,37.0,1.0,64.7,51.9,33.5,27.7,Rectangular Farmland,Mixed
Non Emptying,52.9,32.7,1.0,60.2,22.0,73.0,47.0,Lindstrom City,Mixed
Emptying,71.4,31.5,6.0,57.9,30.6,32.7,28.6,Malmobehallare,Non Recyclable
Non Emptying,62.4,54.8,3.0,60.1,52.9,39.0,28.0,Lindstrom-b,Non Recyclable
Emptying,92.6,63.8,9.0,63.9,37.4,55.5,30.2,Malmobehallare,Mixed
Emptying,87.9,43.7,9.0,35.5,23.1,60.6,56.6,Accordion,Mixed
Emptying,91.6,65.1,6.0,76.8,68.1,32.9,21.0,Lindstrom-b,Non Recyclable
Emptying,90.0,50.7,6.0,75.2,43.8,34.4,23.5,Rectangular,Mixed
Emptying,74.5,32.7,6.0,64.8,21.5,74.7,32.3,Silvertop-a,Non Recyclable
Non Emptying,38.1,20.0,2.0,70.0,52.1,62.6,39.3,Malmobehallare,Non Recyclable
Emptying,93.6,57.4,8.0,84.8,43.7,75.7,31.7,Lindstrom City,Mixed
Non Emptying,78.8,68.0,4.0,68.3,24.6,83.1,41.7,Cubic,Mixed
Non Emptying,50.1,30.0,2.0,75.7,30.8,61.4,38.8,Rectangular Farmland,Mixed
Non Emptying,34.4,27.2,5.0,64.3,50.0,71.9,32.4,Lindstrom City,Recyclable
Non Emptying,75.4,65.8,3.0,93.9,66.4,51.9,34.2,Rectangular Farmland,Non Recyclable
Emptying,62.6,24.8,9.0,36.7,28.6,73.3,31.0,Lindstrom City,Non Recyclable
Non Emptying,32.0,22.0,5.0,55.8,32.0,83.3,41.4,Rectangular,Non Recyclable
Non Emptying,30.0,21.4,5.0,38.0,26.4,69.4,54.0,Fiberglass Igloo-b,Non Recyclable
Non Emptying,33.2,27.1,5.0,57.0,35.5,91.2,65.5,Silvertop-a,Recyclable
Emptying,71.1,49.4,7.0,64.5,30.0,37.5,23.8,Diamond,Mixed
Non Emptying,54.7,34.4,1.0,70.4,48.2,68.3,50.8,Rectangular,Recyclable
Emptying,80.0,43.1,6.0,52.9,38.2,74.8,40.6,BIM-3 FTI bottentomd,Mixed
Emptying,80.0,56.0,6.0,94.4,62.1,67.4,53.7,Rectangular,Non Recyclable
Non Emptying,31.1,21.3,5.0,84.6,54.2,73.1,30.9,Accordion,Recyclable
Emptying,84.4,56.7,8.0,35.7,21.3,66.2,58.7,BIM-3 FTI bottentomd,Mixed
Non Emptying,74.1,67.6,5.0,61.1,30.5,61.2,51.6,Fiberglass Igloo-b,Recyclable
Non Emptying,66.8,50.3,5.0,70.1,32.9,91.4,67.2,Rectangular,Non Recyclable
Non Emptying,58.3,37.9,4.0,86.8,51.3,67.6,56.5,Lindstrom-a,Non Recyclable
Non Emptying,76.7,67.7,1.0,36.5,20.2,72.3,67.5,Lindstrom-b,Mixed
Non Emptying,80.0,60.1,3.0,92.3,69.8,66.7,34.0,Silvertop-a,Recyclable
Emptying,77.5,44.1,7.0,78.8,30.3,30.4,22.0,Lindstrom-b,Non Recyclable
Emptying,86.3,53.6,6.0,74.3,31.5,33.6,21.3,Malmobehallare,Non Recyclable
Non Emptying,60.3,58.9,5.0,86.7,40.3,55.6,34.2,Malmobehallare,Recyclable
Non Emptying,64.0,53.2,4.0,74.7,34.9,70.0,68.6,Rectangular Farmland,Mixed
Emptying,64.7,35.4,6.0,65.3,20.5,72.3,62.3,Silvertop-b,Non Recyclable
Non Emptying,30.8,21.3,3.0,76.3,30.0,54.4,32.1,Cubic,Mixed
Emptying,97.9,68.9,9.0,51.5,30.1,89.1,50.5,Lindstrom City,Non Recyclable
Emptying,96.5,54.0,9.0,81.1,48.5,90.8,55.1,Silvertop-b,Non Recyclable
Non Emptying,59.5,35.6,5.0,67.7,32.7,73.9,60.9,Rectangular,Non Recyclable
Non Emptying,50.4,33.1,4.0,94.7,56.0,97.0,53.7,Malmobehallare,Non Recyclable
Non Emptying,32.8,22.6,1.0,94.1,68.1,75.8,32.2,BIM-3 FTI bottentomd,Recyclable
Emptying,84.6,54.7,6.0,32.4,27.1,67.5,58.6,Fiberglass Igloo-b,Non Recyclable
Non Emptying,74.5,62.5,2.0,91.7,50.8,53.8,32.1,BIM-3 FTI bottentomd,Non Recyclable
Emptying,80.6,41.4,7.0,71.2,32.6,59.9,39.0,Lindstrom-b,Recyclable
Emptying,83.2,50.2,9.0,80.9,42.1,35.1,27.5,Silvertop-a,Mixed
Emptying,82.9,44.3,8.0,76.6,64.7,30.1,22.6,Lindstrom City,Recyclable
Emptying,63.9,23.0,6.0,83.5,52.8,58.8,33.4,Silvertop-a,Mixed
Non Emptying,34.0,20.9,1.0,100.0,53.5,34.1,28.2,BIM-3 FTI bottentomd,Non Recyclable
